Name	Value	Representative
catalytic activity	3.6439741428068775	catalytic activity
transferase activity	10.485452247339714	transferase activity
carbohydrate binding	7.252588192113577	carbohydrate binding
polysaccharide binding	8.358525889495901	polysaccharide binding
anion binding	7.739928612014925	anion binding
ATP binding	7.261219441515631	anion binding
small molecule binding	6.872895201635193	anion binding
ion binding	4.485452247339714	anion binding
carbohydrate derivative binding	6.443697499232713	anion binding
nucleoside phosphate binding	6.2839966563652006	anion binding
trihydroxystilbene synthase activity	13.534617148551582	trihydroxystilbene synthase activity
protein kinase activity	13.072629636960976	trihydroxystilbene synthase activity
acyltransferase activity	5.281498311132726	trihydroxystilbene synthase activity
acyltransferase activity, transferring groups other than amino-acyl groups	5.605548319173784	trihydroxystilbene synthase activity
transferase activity, transferring phosphorus-containing groups	10.749579997691106	trihydroxystilbene synthase activity
catalytic activity, acting on a protein	6.661543506395395	catalytic activity, acting on a protein
